Titre,Prix,Nombre de pieces,Type,Adresse,Secteur,Surface totale en m^2,Salons,Salles de bain,Etage,Age du bien,Superficie habitable,Frais de syndic / mois,Garage,Securite,Meuble,Climatisation,Chauffage,Parking,Concierge,Piscine,Jardin,Loti,Cuisine equipee,Terrasse,Ascenseur,Balcon
Appartement 71m Vente à Sidi Rahal,378000.0,2.0,Appartements,,Toute la ville,71 , 1,2,1.0,1-5 ans,71 ,0,Non,Oui,Oui,Oui,Oui,Oui,Oui,Non,Non,Non,Oui,Oui,Oui,Oui
Appartement 63m à Sidi Rahal,340000.0,2.0,Appartements,,Toute la ville,63 , 1,1,1.0,1-5 ans,63 ,0,Non,Oui,Oui,Oui,Oui,Oui,Oui,Non,Non,Non,Oui,Oui,Oui,Oui
Appartement 88 m,4780009.0,3.0,Appartements,,Toute la ville,88 , 1,2,1.0,1-5 ans,88 ,0,Non,Oui,Oui,Oui,Oui,Oui,Oui,Non,Non,Non,Oui,Oui,Oui,Oui
Maison 81 M2 à ghar lbaroud oujda,380000.0,2.0,Maisons et Villas, 0661360143,Autre secteur,81 , 1,1,,11-20 ans,81 ,0,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Appartement 62m,345000.0,2.0,Appartements,,Toute la ville,62 , 1,1,1.0,1-5 ans,62 ,0,Non,Oui,Oui,Oui,Oui,Oui,Oui,Non,Non,Non,Oui,Oui,Oui,Oui
Grand villa avec piscine 3 facades a Targa,2600000.0,8.0,Maisons et Villas, zohour targa,Targa,428 , 4,4,,Neuf/Premiere main,320 ,0,Oui,Oui,Non,Oui,Oui,Non,Non,Oui,Oui,Non,Oui,Oui,Non,Oui
APPART TRIANGLE D'OR MARCHÉ BADAR 3CH 120M2,2020000.0,4.0,Appartements, TRIANGLE D''''OR MARCHE BADAR ,Triangle d'Or,120 , 1,2,4.0,11-20 ans,118 ,0,Non,Oui,Non,Non,Non,Oui,Oui,Non,Non,Non,Oui,Non,Oui,Non
شقة ملكية مؤثثة للبيع بمرتيل,450000.0,1.0,Appartements,,Toute la ville,55 , 1,1,3.0,1-5 ans,55 ,0,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Oui
Appartement 46m2 R plus 2 à Hay Essalam,290000.0,2.0,Appartements,,Hay Essalam,, 1,1,1.0,,46 m,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
منزل مستقل بمرتيل,850000.0,3.0,Maisons et Villas,,Toute la ville,136 , 1,2,,1-5 ans,37 ,0,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Oui,Oui,Non,Non
Appt proche de l'école ilyes,360000.0,2.0,Appartements, proche de l''ecole ilyes,Saada,65 , 1,1,1.0,,65 m,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
دار عربية بتطوان,2500000.0,5.0,Maisons et Villas,,Medina,180 , 2,4,,21+ ans,180 ,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non
3 locaux commerciaux zaitoune Bensouda,200000.0,3.0,Appartements, 81 quartier zaitoune route ras el mas bensouda,Ben Souda,, 0,3,1.0,1-5 ans,30 ,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non
Superbe Appartement en Vente à Kénitra,1500000.0,4.0,Appartements, Prolongement imam ali,Centre,204 , 2,3,3.0,6-10 ans,182 ,1,Non,Oui,Non,Non,Non,Oui,Oui,Non,Non,Non,Oui,Oui,Oui,Oui
Villa neuve situè à el menzah,5000000.0,8.0,Maisons et Villas,,Souissi,, 3,3,,,,0,Oui,Oui,Non,Oui,Oui,Oui,Non,Oui,Oui,Non,Oui,Oui,Non,Oui
Appartement en Vente à Rabat-Souissi,4300000.0,5.0,Appartements,,Souissi,189 , 2,2,1.0,,,0,Non,Oui,Non,Oui,Oui,Oui,Oui,Non,Non,Non,Oui,Oui,Oui,Oui
maison rez de chaussée et 2 étage semi fini,420000.0,7.0,Maisons et Villas, V77 tranche 5 tamensourt,Toute la ville,72 , 1,2,,,220 m,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Appartement 80m2 à Lot Hiba,660000.0,3.0,Appartements,,Autre secteur,, 1,1,2.0,,80 ,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non
APPARTEMENT DE 100m2 av moulay abd el aziz,790000.0,3.0,Appartements, AV MOULAY ABD ELAZIZ,Mimosas,100 , 1,2,2.0,Neuf/Premiere main,,0,Non,Oui,Non,Oui,Oui,Non,Oui,Non,Non,Non,Oui,Non,Oui,Non
APPARTEMENT HAUT STANDING A OCEAN,980000.0,2.0,Appartements, AV AL MOKAWAMA,Quartier de l'Ocean,, 1,2,,Neuf/Premiere main,,0,Non,Oui,Non,Oui,Oui,Oui,Oui,Non,Non,Non,Oui,Non,Oui,Non
Bureau de 98 m2 Centre ville vue panoramique,800000.0,1.0,Bureaux et Plateaux, angle av med V et rue med el hansali,Centre,98 ,,1,,,,0,Non,Oui,Non,Oui,Non,Non,Oui,Non,Non,Non,Non,Non,Oui,Non
Appartement de 90m 5 pièces chkili,570000.0,5.0,Appartements,,Autre secteur,90 , 2,1,2.0,Neuf/Premiere main,90 ,0,Non,Oui,Non,Oui,Non,Non,Non,Non,Non,Non,Oui,Oui,Non,Non
Appartement 51m2 à Hay Essalam,300000.0,1.0,Appartements,,Hay Essalam,, 1,1,2.0,,51 m,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Appartement 52m2 à Najd 1,330000.0,2.0,Appartements,,Najd,, 1,1,1.0,,52 m,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
VENTE Appartement 94M ELHOUDA,920000.0,2.0,Appartements, Rue Amsri ELHOUDA,El Houda,94 , 1,2,1.0,11-20 ans,94 ,0,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Oui,Non,Oui
Terrain Villa 200 m² Oasis 2 Bouskoura,960000.0,,Terrains et Fermes,,Toute la ville,200 ,,,,,,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non
Terrain de 5000 m2 à Corniche Ain Diab,40000000.0,,Terrains et Fermes,,Ain Diab,5000 ,,,,,,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Bel appartement à vendre,1430000.0,2.0,Appartements,,Founti,97 , 1,2,1.0,,,0,Non,Oui,Oui,Oui,Non,Non,Non,Non,Non,Non,Oui,Non,Oui,Oui
Grand appartement 111 m2 avec terase a Socoma,650000.0,2.0,Appartements, socoma,Azli,111 , 1,2,0.0,Neuf/Premiere main ,,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Appartement à El Jadida,280000.0,2.0,Appartements,,Autre secteur,, 1,1,1.0,,53 m,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Appartement 82 M2 prés asswak assalam,370000.0,2.0,Appartements, 0661360143,Boustane,82 , 1,1,2.0,1-5 ans,82 ,100,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Oui
Appartement à Rabat,2400000.0,4.0,Appartements, avenue annakhil,Hay Riad,140 , 1,2,2.0,11-20 ans,140 ,250,Non,Oui,Non,Non,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,Non
APPARTEMENT à vendre,892500.0,5.0,Appartements, Quartier Zgoumi,Tamraght,170 , 1,1,2.0,6-10 ans,85 ,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non
Duplex d'une villa 3 façades,1600000.0,4.0,Maisons et Villas, proche ibnou badiss,Autre secteur,180 , 3,2,,,,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Oui
Appartement 2 facades 3 chambre salon de 115m2,1020000.0,4.0,Appartements,,Hay Izdihar,115 , 1,2,,Neuf/Premiere main,,0,Non,Oui,Non,Oui,Oui,Oui,Oui,Non,Non,Non,Oui,Oui,Oui,Oui
Villa bien retapé situè à Souissi,13000000.0,8.0,Maisons et Villas,,Souissi,2300 , 4,4,,,,0,Oui,Oui,Non,Oui,Oui,Oui,Non,Oui,Oui,Non,Oui,Oui,Non,Oui
Appartement en Vente à Tanger,470000.0,1.0,Appartements, Hy lmjd qrb blk l`wm@,El Majd,80 , 1,1,4.0,1-5 ans,80 ,50,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non
شقة للبيع,400000.0,3.0,Appartements, azhar,Sidi Bernoussi,55 , 1,1,1.0,6-10 ans,,30,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Oui
villa,4500000.0,6.0,Maisons et Villas,,Najah,354 , 2,2,,11-20 ans,313 ,0,Oui,Non,Non,Oui,Non,Non,Non,Non,Oui,Non,Non,Oui,Non,Oui
شقة,230000.0,1.0,Appartements, Hwm@ lshwk,Benkirane,90 , 1,1,,11-20 ans,90 ,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non
super maison commercial avendre 100m had soualem,1310000.0,11.0,Maisons et Villas, lotissement wahda,Toute la ville,300 , 2,3,,Neuf/Premiere main,100 ,0,Oui,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Oui,Oui,Non,Oui
bel appartement deux façade à vendre 72m²,500000.0,2.0,Appartements, residence mahdya ,Moujahidine,72 , 1,1,0.0,1-5 ans,72 ,0,Non,Oui,Non,Non,Non,Oui,Oui,Non,Non,Non,Oui,Non,Non,Non
MAISON FAR AL,680000.0,3.0,Maisons et Villas,,Hay Lazaret,104 , 2,2,,Neuf/Premiere main ,190 ,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
محل تجاري للبيع/شارع رئيسي,2400000.0,2.0,Magasins, rue al yamama ,Riad Oulad Mtaa,122 ,,2 ,,,,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Appartement à l'avenue des FAR AGADIR,950000.0,2.0,Appartements,,Av des Far,74 , 1,1,1.0,,,0,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non
Appartement,2000000.0,5.0,Appartements, Rue bahmad,Belvedere,240 , 2,2,1.0,21+ ans,215 ,200,Non,Non,Oui,Non,Non,Non,Oui,Non,Non,Non,Non,Oui,Oui,Oui
appartement à Casablanca,1240000.0,3.0,Appartements, lotissement essafa ,Oulfa,113 ,,,,,,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Maison et villa en Vente à Oujda,750000.0,3.0,Maisons et Villas,,Route Jerada,, 1,2 ,,,,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Appartements de 70m² à vendre situé à ouled oujih,450000.0,,Appartements,,Ouled Oujih,,,,,,,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Des superbes studios prés université Mohamed 6,850000.0,1.0,Appartements, Avenue Mohammed taib naciri,Oulfa,50 , 1,1,3.0,Neuf/Premiere main,50 ,300,Non,Oui,Non,Oui,Oui,Oui,Oui,Non,Non,Non,Oui,Oui,Oui,Oui
Deux Appartements 101m² à vendre Sis à DOHA,400000.0,4.0,Appartements,,Autre secteur,, 1,2,4.0,,,0,Non,Oui,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Oui
Appartement à vendre ou à louer à Agadir,870000.0,3.0,Appartements, pres ecole coeur Al Hikma ,Hay Houda,85 , 1,2,3.0,11-20 ans,85 ,200,Non,Oui,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Oui,Non,Oui
Appartement à l'avenue des far Agadir,1040000.0,2.0,Appartements,,Av des Far,84 , 1,1,5.0,,,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Oui
villa a vendre,2500000.0,8.0,Maisons et Villas,,Autre secteur,350 , 3,3,,1-5 ans ,120 ,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Une jolie ferme à vendre,2200000.0,,Terrains et Fermes,,Route de Fes,3500 ,,,,,,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Niveau de villa a vendre à el jadida,1150000.0,3.0,Maisons et Villas, proche chateau d''eau ,Al Kodia,120 , 1,2,,1-5 ans,120 ,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Oui
Appartement 124m2 à vendre situé à Bir Rami,1000000.0,3.0,Appartements,,Bir Rami,, 1,2,1.0,,,0,Non,Oui,Non,Non,Non,Non,Oui,Non,Non,Non,Oui,Non,Oui,Non
Appartement en Vente à Marrakech,1200000.0,2.0,Appartements,,Semlalia,94 , 1,2,2.0,,,0,Non,Oui,Oui,Oui,Oui,Oui,Oui,Non,Non,Non,Oui,Oui,Oui,Non
بقع أرضية محفضة ثمن مناسب,10000009.0,,Autre Immobilier, lqly`@ dwr l`Tr ,Toute la ville,84 ,,,,,,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
villa 470 m2 El Manar ain diab,8500000.0,7.0,Maisons et Villas, manar ain diab,El Manar El Hank,470 , 4,4,,,,0,Oui,Oui,Non,Oui,Oui,Non,Non,Non,Oui,Non,Oui,Oui,Non,Oui
villa,2500000.0,8.0,Maisons et Villas,,Autre secteur,120 , 3,3,,1-5 ans ,350 ,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Magasin 245m plein boulevard vente bourgogne,3650000.0,4.0,Magasins, En plein boulevard ,Bourgogne,245 ,,3,,,,0,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
قطعة أرضية محفظة للبيع 65 متر,210000.0,,Terrains et Fermes, l`zyb l`wm@,Aouama Gharbia,65 ,,,,,,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Appartement Spacieux avec terrasse,1100000.0,3.0,Appartements,,Semlalia,132 , 1,2,5.0,,,0,Non,Oui,Non,Non,Oui,Oui,Oui,Non,Non,Non,Oui,Non,Oui,Oui
قطعة أرضية 335 متر 3 طوابق محفظة بالمنطقة ا,1742000.0,,Terrains et Fermes,,Al Kasaba,,,,,,,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
villa Les colombes route D'Immozar,3600000.0,5.0,Maisons et Villas,,Route d'Immouzere,380 , 2,3,,Neuf/Premiere main,,0,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Oui
Terrain Titré de 898 m2 Pour Villa,2245000.0,,Terrains et Fermes,,Autre secteur,,,,,,,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Appartement haut standing de 134m² au centre ville,1072000.0,1.0,Appartements,,Centre,134 , 2,2,3.0,1-5 ans ,,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
شقق عالية الجودة ببنسودة,210000.0,11.0,Appartements,,Ben Souda,90 , 1,1,4.0,Neuf/Premiere main,85 ,0,Non,Oui,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Oui
Appartements luxueuses de 105 m² à ait skato,787500.0,1.0,Appartements, ait skato ,Centre,, 2,2 ,,,,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
bel Appartement meublé,1450000.0,3.0,Appartements, place mozart,Centre ville,126 , 1,1,,,126 ,0,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Oui,Non
Magasin 20 m2 al ahbass Massira,1300000.0,1.0,Magasins, al ahbass massira,Massira,20 ,,1 ,,,,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Terrain 150 m2 commercial a M'Hamid,900000.0,,Terrains et Fermes, M''''hamid hay nahda,M'Hamid,150 ,,,,,,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
app avec terrasse 65m²,380000.0,2.0,Appartements, residence belbachir moujahidin ,Moujahidine,65 , 1,1,5.0,6-10 ans,50 ,150,Non,Oui,Non,Non,Non,Oui,Oui,Non,Non,Non,Non,Oui,Oui,Oui
Appartement a avenue moulay rachid,1050000.0,3.0,Appartements, avenue moulay rachid,Moujahidine,, 1,2,1.0,1-5 ans,,0,Non,Oui,Non,Non,Non,Oui,Oui,Non,Non,Non,Oui,Non,Oui,Oui
appt a hassania 1 mohammedia,65000000.0,2.0,Appartements, Hassania1 Inara3 Imm 1 Appt 06,Hassania 1,, 1,1,2.0,,,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui
Terrain zone villa très bien situé,2148000.0,,Terrains et Fermes,,Autre secteur,,,,,,,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Terrain de 210 m2 pour Hammam,1470000.0,,Terrains et Fermes,,Autre secteur,,,,,,,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Appartement 60 m2 al fadl hay charaf,390000.0,2.0,Appartements, Al fadl hay charaf,Hay Charaf,60 , 1,1,0.0,,,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
2 hectare a route de sidi rahal,900000.0,,Terrains et Fermes, Route de sidi rahal,Route de Fes,,,,,,,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Villa bien situé a sidi masoud,1800000.0,4.0,Maisons et Villas,,Autre secteur,,,,,,,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
شقة رائعة بمواصفات جيدة قرب حمام طيبة 75م,440000.0,3.0,Appartements,,Autre secteur,75 , 1,2,,Neuf/Premiere main,75 ,0,Non,Oui,Non,Oui,Non,Non,Non,Non,Non,Non,Oui,Oui,Non,Non
Terrain de 780 m2 à hrarech,2136000.0,,Terrains et Fermes,,M'nar,780 ,,,,,,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Villa 280 m2 a Route de casa,2600000.0,4.0,Maisons et Villas, route de casa,Route de Casablanca,280 , 2,2,,,,0,Oui,Oui,Non,Oui,Non,Non,Non,Oui,Oui,Non,Non,Oui,Non,Oui
Joli appartement de 3chambres FAR,700000.0,3.0,Appartements,,Autre secteur,,,,,,,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
شقة رائعة بمواصفات جيدة شوكة طابق الاول,370000.0,3.0,Appartements,,Autre secteur,56 , 1,1,1.0,Neuf/Premiere main,56 ,0,Non,Oui,Non,Oui,Non,Non,Non,Non,Non,Non,Oui,Oui,Non,Non
أرض في دخلة البروج,2800000.0,,Terrains et Fermes, da5la el borouj m9abla station petrom,Toute la ville,1400 ,,,,,,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Appartement 2 façade à vendre à Oujda,470000.0,3.0,Appartements,,Hay Lazaret,120 , 1,1,2.0,1-5 ans,,0,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non
Terrain 200 m2 Route de Casablanca,1300000.0,,Terrains et Fermes, a cote de marjan,Route de Casablanca,200 ,,,,,,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Terrain de 185 m2 pour une salle de sport,1295000.0,,Terrains et Fermes,,Autre secteur,,,,,,,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Villa 200 m2 assif c à cote Allal El Fassi,2400000.0,3.0,Maisons et Villas, assif c,Assif,200 , 3,2 ,,,,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Appartemnt 124 m2 alla el fassi,850000.0,3.0,Appartements, Allal el fassi,Allal El Fassi,124 , 1,1,1.0,,,0,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Appartement 101 m2 a Rouidat,820000.0,3.0,Appartements, Rouidat daoudiat,Rouidat,101 , 1,1,2.0,,,0,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Oui,Non
Appartement 64m A Al wifaq,395000.0,2.0,Appartements,,Al Wifaq,64 , 1,2,0.0,6-10 ans,64 ,50,Non,Oui,Non,Non,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,Non
Appartement 68 m2 meublé Ain Mezouar,650000.0,2.0,Appartements, ain mezouar,Ain Mezouar,68 , 1,1,1.0,,68 ,0,Non,Oui,Oui,Oui,Non,Non,Non,Non,Non,Non,Oui,Non,Oui,Oui
Terrain commercial Marjane,1750000.0,,Terrains et Fermes, Dyar al madina ,Marjane 2,201 ,,,,,,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Local commercial 25m2 Marjane,280000.0,1.0,Magasins, Lycee anassi ,Marjane 2,25 ,,1 ,,,,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Appartement duplex,695000.0,5.0,Appartements, Pres mosquee amira,M'Hamid,158 ,,,,1-5 ans,,100,Non,Oui,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non
Local commercial 77m2 Anassi,840000.0,1.0,Magasins, Lycee anassi ,Marjane 2,77 ,,1 ,,,,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Appartement Centre jaadar titré déclaration totale,450000.0,3.0,Appartements,,Autre secteur,90 , 1,1,1.0,,90 ,0,Non,Oui,Non,Non,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,Oui
Appartement 60m Proche Ecole Iraqui,500000.0,2.0,Appartements,,Hay Izdihar,,,,,,,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Villa haut de gamme,2100000.0,6.0,Maisons et Villas, Route Mahdia en face de la base,La Base,250 , 2,5,,,220 m,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Magasin Ain Aouda,240000.0,,Magasins, hay oulad zair,Toute la ville,,,,,,,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Appartement 72 m2 Av Piscine A Route Casa,640000.0,2.0,Appartements,,Route de Casablanca,,,,,,,0,Non,Non,Non,Non,Non,Oui,Oui,Non,Non,Non,Oui,Non,Oui,Oui
شقة سفلية رائعة رخيصة بفراشها للبيع,480000.0,2.0,Appartements, shr` bn bdys qrb mrshy lkdy@ ,Hay Essalam,70 , 1,2,0.0,6-10 ans,70 ,100,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Dernière opportunité à saisir chez -AVICENNE-,790000.0,1.0,Appartements, Avenue Mohammed taib naciri,Oulfa,46 , 1,1,3.0,Neuf/Premiere main,46 ,300,Non,Oui,Non,Oui,Oui,Oui,Oui,Non,Non,Non,Oui,Oui,Oui,Oui
Grande Maison de luxe,1160000.0,3.0,Maisons et Villas,,Aarid,90 , 1,1,,,90 ,0,Oui,Oui,Non,Non,Non,Oui,Non,Non,Non,Non,Oui,Oui,Non,Non
Un grande maison de 112 m²,1800000.0,4.0,Maisons et Villas, Nador Al Jadid,Hay Al Matar,112 , 2,2,,,112 ,0,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non
Jolie Studio neuf a a Guéliz,725000.0,2.0,Appartements,,Gueliz,58 ,,,,,,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Jolie Appart 3Chambre 175m a Av moh6,1800000.0,4.0,Appartements,,Av Mohammed VI,175 ,,,,,,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
شقة رائعة سفلية للبيع مع فراشها,480000.0,2.0,Appartements, shr` bn bdys,Hay Essalam,70 , 1,2,0.0,6-10 ans,70 ,100,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Appart avec grand terrasse en Vente à smlalia,1000000.0,2.0,Appartements, Gueliz marrakech,Semlalia,83 , 1,1,0.0,,,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Appartement Haut Standing Au Hay almatar,8000000.0,3.0,Appartements, Nador Al Jadid,Hay Al Matar,80 , 1,1,1.0,,80 ,0,Non,Oui,Non,Non,Non,Non,Oui,Non,Non,Non,Oui,Non,Oui,Oui
Appartement de 62m² avec L'ascenseur a aarid,420000.0,3.0,Appartements,,Aarid,62 , 1,1,1.0,,62 ,0,Non,Oui,Non,Non,Non,Oui,Oui,Non,Non,Non,Oui,Oui,Oui,Oui
Magasin à l'avenue Mohamed 5 AGADIR,3282500.0,,Magasins, Avenue mohamed 5,Centre Ville,188 ,,,,,,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Magasin commercial neuf sans avance,455000.0,1.0,Magasins, Route Moulay Touhami Errahma,Toute la ville,26 ,,1,,,,0,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Appartement sans avance déclaration totale,696000.0,2.0,Appartements, Route Moulay Touhami Errahma,Toute la ville,87 , 1,2,2.0,Neuf/Premiere main,88 ,250,Non,Oui,Non,Non,Non,Oui,Non,Non,Non,Non,Oui,Oui,Oui,Oui
villa finie Abraj Garden Bouskoura,4900000.0,,Maisons et Villas, 0661378263,Toute la ville,,,,,,,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Appartement de 64 m2 el jadida pres la mer,430000.0,2.0,Appartements,,Centre,64 , 1,1,0.0,,,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Maison Sidi Maarouf,1680000.0,4.0,Maisons et Villas, Sidi Maarouf Jnanat,Sidi Maarouf,236 , 3,2,,1-5 ans,236 ,0,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non
villa moderne a vendre sur la Route Casablanca,2600000.0,7.0,Maisons et Villas,,Route de Casablanca,350 , 3,3,,,,0,Oui,Oui,Non,Oui,Oui,Oui,Non,Oui,Oui,Non,Oui,Non,Non,Oui
Maison de 90m2 Rplus 1,1200000.0,3.0,Maisons et Villas,,Aarid,30 , 1,1,,,90 ,0,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Oui,Non,Non
Appartement à Casablanca,310000.0,2.0,Appartements, Residence aman ,Ain Sebaa,54 , 1,1,4.0,6-10 ans,,50,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
GAUTHIER STUDIO A VENDRE MEUBLE NEUF,850000.0,1.0,Appartements,,Gauthier,41 ,,2,,,,0,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Appartement à l'avenue Moukawama AGADIR,960000.0,2.0,Appartements,,Av Mokawama,75 , 1,1,0.0,,,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Appart à ghandi,1750000.0,3.0,Appartements, Route d eljadida,Route d'El Jadida,140 , 1,2,5.0,21+ ans,126 ,300,Non,Oui,Non,Non,Non,Oui,Oui,Non,Non,Non,Non,Non,Oui,Oui
Appartement à Anza AGADIR,270000.0,2.0,Appartements,,Anza,48 , 1,1,0.0,,,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
